release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
81,952899.405263500,0.000010500,0.020000000,0.020000000,952899.405274000,952899.425263500,0,
82,952899.420989700,0.000005400,0.020000000,0.020000000,952899.420995100,952899.440989700,0,
83,952899.436581400,0.000015000,0.020000000,0.020000000,952899.436596400,952899.456581400,0,
84,952899.451383100,0.000020300,0.020000000,0.020000000,952899.451403400,952899.471383100,0,
85,952899.482205800,0.000004800,0.020000000,0.020000000,952899.482210600,952899.502205800,0,
86,952899.498072200,0.000010200,0.020000000,0.020000000,952899.498082400,952899.518072200,0,
87,952899.514332000,0.000012600,0.020000000,0.020000000,952899.514344600,952899.534332000,0,
88,952899.530563100,0.000006900,0.020000000,0.020000000,952899.530570000,952899.550563100,0,
89,952899.561452100,0.000013600,0.020000000,0.020000000,952899.561465700,952899.581452100,0,
90,952899.578097900,0.000006800,0.020000000,0.020000000,952899.578104700,952899.598097900,0,
91,952899.593260100,0.000011300,0.020000000,0.020000000,952899.593271400,952899.613260100,0,
92,952899.624813200,0.000009300,0.020000000,0.020000000,952899.624822500,952899.644813200,0,
93,952899.639667600,0.000014500,0.020000000,0.020000000,952899.639682100,952899.659667600,0,
94,952899.655922200,0.000012400,0.020000000,0.020000000,952899.655934600,952899.675922200,0,
95,952899.685850500,0.000006900,0.020000000,0.020000000,952899.685857400,952899.705850500,0,
96,952899.701089800,0.000010600,0.020000000,0.020000000,952899.701100400,952899.721089800,0,
97,952899.716651200,0.000008900,0.020000000,0.020000000,952899.716660100,952899.736651200,0,
98,952899.732445300,0.000010900,0.020000000,0.020000000,952899.732456200,952899.752445300,0,
99,952899.763010700,0.000032100,0.020000000,0.020000000,952899.763042800,952899.783010700,0,
100,952899.778640100,0.000009900,0.020000000,0.020000000,952899.778650000,952899.798640100,0,
101,952899.794355500,0.000008800,0.020000000,0.020000000,952899.794364300,952899.814355500,0,
102,952899.826073100,0.000012400,0.020000000,0.020000000,952899.826085500,952899.846073100,0,
103,952899.841964300,0.000018200,0.020000000,0.020000000,952899.841982500,952899.861964300,0,
104,952899.857985100,0.000005400,0.020000000,0.020000000,952899.857990500,952899.877985100,0,
105,952899.873274000,0.000013300,0.020000000,0.020000000,952899.873287300,952899.893274000,0,
106,952899.904104100,0.000006100,0.020000000,0.020000000,952899.904110200,952899.924104100,0,
107,952899.918708200,0.000010000,0.020000000,0.020000000,952899.918718200,952899.938708200,0,
108,952899.933907900,0.000011500,0.020000000,0.020000000,952899.933919400,952899.953907900,0,
109,952899.965907600,0.000013500,0.020000000,0.020000000,952899.965921100,952899.985907600,0,
110,952899.981327400,0.000009700,0.020000000,0.020000000,952899.981337100,952900.001327400,0,
111,952899.996658400,0.000029500,0.020000000,0.020000000,952899.996687900,952900.016658400,0,
112,952900.012334900,0.000011300,0.020000000,0.020000000,952900.012346200,952900.032334900,0,
113,952900.043271400,0.000010800,0.020000000,0.020000000,952900.043282200,952900.063271400,0,
114,952900.059177200,0.000013300,0.020000000,0.020000000,952900.059190500,952900.079177200,0,
115,952900.075451500,0.000009700,0.020000000,0.020000000,952900.075461200,952900.095451500,0,
116,952900.091215900,0.000020500,0.020000000,0.020000000,952900.091236400,952900.111215900,0,
117,952900.121931000,0.000009500,0.020000000,0.020000000,952900.121940500,952900.141931000,0,
118,952900.138039800,0.000016400,0.020000000,0.020000000,952900.138056200,952900.158039800,0,
119,952900.153675200,0.000006600,0.020000000,0.020000000,952900.153681800,952900.173675200,0,
120,952900.184808300,0.000010700,0.020000000,0.020000000,952900.184819000,952900.204808300,0,
121,952900.200263300,0.000010300,0.020000000,0.020000000,952900.200273600,952900.220263300,0,
122,952900.216225200,0.000009000,0.020000000,0.020000000,952900.216234200,952900.236225200,0,
123,952900.231837300,0.000009200,0.020000000,0.020000000,952900.231846500,952900.251837300,0,
124,952900.263822500,0.000064400,0.020000000,0.020000000,952900.263886900,952900.283822500,0,
125,952900.279461200,0.000012900,0.020000000,0.020000000,952900.279474100,952900.299461200,0,
