release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
721,952912.201170600,0.000034000,0.020000000,0.020000000,952912.201204600,952912.221170600,0,
722,952912.217021300,0.000048400,0.020000000,0.020000000,952912.217069700,952912.237021300,0,
723,952912.249078900,0.000054900,0.020000000,0.020000000,952912.249133800,952912.269078900,0,
724,952912.265059600,0.000056900,0.020000000,0.020000000,952912.265116500,952912.285059600,0,
725,952912.280310800,0.000051300,0.020000000,0.020000000,952912.280362100,952912.300310800,0,
726,952912.296054600,0.000038500,0.020000000,0.020000000,952912.296093100,952912.316054600,0,
727,952912.327240400,0.000041800,0.020000000,0.020000000,952912.327282200,952912.347240400,0,
728,952912.343031200,0.000039400,0.020000000,0.020000000,952912.343070600,952912.363031200,0,
729,952912.358163600,0.000046600,0.020000000,0.020000000,952912.358210200,952912.378163600,0,
730,952912.389842800,0.000052300,0.020000000,0.020000000,952912.389895100,952912.409842800,0,
731,952912.405297900,0.000054100,0.020000000,0.020000000,952912.405352000,952912.425297900,0,
732,952912.421619900,0.000030200,0.020000000,0.020000000,952912.421650100,952912.441619900,0,
733,952912.436597500,0.000037200,0.020000000,0.020000000,952912.436634700,952912.456597500,0,
734,952912.468117400,0.000060300,0.020000000,0.020000000,952912.468177700,952912.488117400,0,
735,952912.483719900,0.000047600,0.020000000,0.020000000,952912.483767500,952912.503719900,0,
736,952912.499466300,0.000041900,0.020000000,0.020000000,952912.499508200,952912.519466300,0,
737,952912.515367800,0.000047400,0.020000000,0.020000000,952912.515415200,952912.535367800,0,
738,952912.546383600,0.000160400,0.020000000,0.020000000,952912.546544000,952912.566383600,0,
739,952912.562018900,0.000050100,0.020000000,0.020000000,952912.562069000,952912.582018900,0,
740,952912.577076000,0.000047800,0.020000000,0.020000000,952912.577123800,952912.597076000,0,
741,952912.608356600,0.000057100,0.020000000,0.020000000,952912.608413700,952912.628356600,0,
742,952912.624643100,0.000027800,0.020000000,0.020000000,952912.624670900,952912.644643100,0,
743,952912.640529000,0.000049000,0.020000000,0.020000000,952912.640578000,952912.660529000,0,
744,952912.656218100,0.000038300,0.020000000,0.020000000,952912.656256400,952912.676218100,0,
745,952912.686676700,0.000060000,0.020000000,0.020000000,952912.686736700,952912.706676700,0,
746,952912.702212400,0.000049000,0.020000000,0.020000000,952912.702261400,952912.722212400,0,
747,952912.717833500,0.000045100,0.020000000,0.020000000,952912.717878600,952912.737833500,0,
748,952912.748471200,0.000060500,0.020000000,0.020000000,952912.748531700,952912.768471200,0,
749,952912.764335700,0.000049200,0.020000000,0.020000000,952912.764384900,952912.784335700,0,
750,952912.779140400,0.000033700,0.020000000,0.020000000,952912.779174100,952912.799140400,0,
751,952912.809538700,0.000052500,0.020000000,0.020000000,952912.809591200,952912.829538700,0,
752,952912.825908200,0.000034800,0.020000000,0.020000000,952912.825943000,952912.845908200,0,
753,952912.841647100,0.000053000,0.020000000,0.020000000,952912.841700100,952912.861647100,0,
754,952912.856785100,0.000045400,0.020000000,0.020000000,952912.856830500,952912.876785100,0,
755,952912.887850000,0.000061700,0.020000000,0.020000000,952912.887911700,952912.907850000,0,
756,952912.903408300,0.000029500,0.020000000,0.020000000,952912.903437800,952912.923408300,0,
