release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
164,944972.619803000,0.000197000,0.050000000,0.050000000,944972.620000000,944972.669803000,0,HOLD
165,944972.665346800,0.000191100,0.050000000,0.050000000,944972.665537900,944972.715346800,0,HOLD
166,944972.710985800,0.000174900,0.050000000,0.050000000,944972.711160700,944972.760985800,0,HOLD
167,944972.757601300,0.000194000,0.050000000,0.050000000,944972.757795300,944972.807601300,0,HOLD
168,944972.817787800,0.000188500,0.050000000,0.050000000,944972.817976300,944972.867787800,0,HOLD
169,944972.864742400,0.000224500,0.050000000,0.050000000,944972.864966900,944972.914742400,0,MOVE_LEFT
170,944972.910545400,0.000149900,0.050000000,0.050000000,944972.910695300,944972.960545400,0,HOLD
171,944972.957135100,0.000366600,0.050000000,0.050000000,944972.957501700,944973.007135100,0,HOLD
172,944973.019060300,0.000182300,0.050000000,0.050000000,944973.019242600,944973.069060300,0,HOLD
173,944973.066646900,0.000163400,0.050000000,0.050000000,944973.066810300,944973.116646900,0,HOLD
174,944973.112710500,0.000194100,0.050000000,0.050000000,944973.112904600,944973.162710500,0,HOLD
175,944973.160068300,0.000146500,0.050000000,0.050000000,944973.160214800,944973.210068300,0,HOLD
176,944973.225208500,0.000145500,0.050000000,0.050000000,944973.225354000,944973.275208500,0,HOLD
177,944973.270083400,0.000179700,0.050000000,0.050000000,944973.270263100,944973.320083400,0,HOLD
178,944973.315571000,0.000195600,0.050000000,0.050000000,944973.315766600,944973.365571000,0,HOLD
179,944973.360972900,0.000160600,0.050000000,0.050000000,944973.361133500,944973.410972900,0,HOLD
180,944973.422310000,0.000209600,0.050000000,0.050000000,944973.422519600,944973.472310000,0,HOLD
181,944973.467745500,0.000192100,0.050000000,0.050000000,944973.467937600,944973.517745500,0,HOLD
182,944973.513258400,0.000320300,0.050000000,0.050000000,944973.513578700,944973.563258400,0,HOLD
183,944973.559123100,0.000197800,0.050000000,0.050000000,944973.559320900,944973.609123100,0,HOLD
184,944973.622103300,0.000197800,0.050000000,0.050000000,944973.622301100,944973.672103300,0,HOLD
185,944973.667590100,0.000277100,0.050000000,0.050000000,944973.667867200,944973.717590100,0,HOLD
186,944973.712478800,0.000433800,0.050000000,0.050000000,944973.712912600,944973.762478800,0,MOVE_RIGHT
187,944973.759962300,0.000263800,0.050000000,0.050000000,944973.760226100,944973.809962300,0,MOVE_RIGHT
188,944973.822771400,0.000564500,0.050000000,0.050000000,944973.823335900,944973.872771400,0,HOLD
189,944973.872573000,0.000225600,0.050000000,0.050000000,944973.872798600,944973.922573000,0,HOLD
190,944973.915943000,0.000201800,0.050000000,0.050000000,944973.916144800,944973.965943000,0,HOLD
191,944973.967600600,0.000155900,0.050000000,0.050000000,944973.967756500,944974.017600600,0,HOLD
192,944974.011908500,0.000435500,0.050000000,0.050000000,944974.012344000,944974.061908500,0,HOLD
193,944974.079463600,0.000194600,0.050000000,0.050000000,944974.079658200,944974.129463600,0,HOLD
194,944974.120022200,0.000148800,0.050000000,0.050000000,944974.120171000,944974.170022200,0,HOLD
195,944974.166591900,0.000180900,0.050000000,0.050000000,944974.166772800,944974.216591900,0,HOLD
196,944974.217166100,0.000147400,0.050000000,0.050000000,944974.217313500,944974.267166100,0,HOLD
197,944974.260427600,0.000168900,0.050000000,0.050000000,944974.260596500,944974.310427600,0,HOLD
198,944974.323412400,0.000740800,0.050000000,0.050000000,944974.324153200,944974.373412400,0,HOLD
199,944974.366803100,0.000242500,0.050000000,0.050000000,944974.367045600,944974.416803100,0,HOLD
200,944974.413886900,0.000150400,0.050000000,0.050000000,944974.414037300,944974.463886900,0,HOLD
201,944974.462692400,0.000180400,0.050000000,0.050000000,944974.462872800,944974.512692400,0,HOLD
202,944974.512318900,0.000203500,0.050000000,0.050000000,944974.512522400,944974.562318900,0,MOVE_RIGHT
203,944974.570044200,0.000167900,0.050000000,0.050000000,944974.570212100,944974.620044200,0,MOVE_RIGHT
204,944974.616507300,0.000185900,0.050000000,0.050000000,944974.616693200,944974.666507300,0,HOLD
205,944974.661418900,0.000146100,0.050000000,0.050000000,944974.661565000,944974.711418900,0,HOLD
206,944974.708317500,0.000188500,0.050000000,0.050000000,944974.708506000,944974.758317500,0,HOLD
207,944974.769291600,0.001585600,0.050000000,0.050000000,944974.770877200,944974.819291600,0,HOLD
208,944974.815593200,0.001456000,0.050000000,0.050000000,944974.817049200,944974.865593200,0,HOLD
209,944974.865601100,0.000184700,0.050000000,0.050000000,944974.865785800,944974.915601100,0,HOLD
210,944974.917456300,0.000210700,0.050000000,0.050000000,944974.917667000,944974.967456300,0,HOLD
211,944974.974295300,0.000210200,0.050000000,0.050000000,944974.974505500,944975.024295300,0,MOVE_RIGHT
212,944975.024952200,0.000184800,0.050000000,0.050000000,944975.025137000,944975.074952200,0,HOLD
213,944975.064024900,0.000178500,0.050000000,0.050000000,944975.064203400,944975.114024900,0,HOLD
214,944975.114724800,0.000148300,0.050000000,0.050000000,944975.114873100,944975.164724800,0,HOLD
215,944975.162456600,0.000147600,0.050000000,0.050000000,944975.162604200,944975.212456600,0,HOLD
216,944975.220213500,0.000300300,0.050000000,0.050000000,944975.220513800,944975.270213500,0,HOLD
217,944975.265793900,0.000367600,0.050000000,0.050000000,944975.266161500,944975.315793900,0,HOLD
218,944975.312761600,0.000375000,0.050000000,0.050000000,944975.313136600,944975.362761600,0,MOVE_LEFT
219,944975.359901600,0.000169100,0.050000000,0.050000000,944975.360070700,944975.409901600,0,HOLD
220,944975.421541300,0.000322200,0.050000000,0.050000000,944975.421863500,944975.471541300,0,HOLD
221,944975.476713800,0.000123800,0.050000000,0.050000000,944975.476837600,944975.526713800,0,HOLD
222,944975.516923200,0.000230000,0.050000000,0.050000000,944975.517153200,944975.566923200,0,HOLD
223,944975.562492800,0.000154400,0.050000000,0.050000000,944975.562647200,944975.612492800,0,HOLD
224,944975.607660000,0.000183700,0.050000000,0.050000000,944975.607843700,944975.657660000,0,HOLD
225,944975.669057100,0.000184400,0.050000000,0.050000000,944975.669241500,944975.719057100,0,HOLD
226,944975.716325200,0.000200600,0.050000000,0.050000000,944975.716525800,944975.766325200,0,HOLD
227,944975.762897500,0.000215800,0.050000000,0.050000000,944975.763113300,944975.812897500,0,HOLD
228,944975.809455800,0.000208800,0.050000000,0.050000000,944975.809664600,944975.859455800,0,HOLD
229,944975.872080000,0.000318800,0.050000000,0.050000000,944975.872398800,944975.922080000,0,HOLD
230,944975.921597700,0.000168100,0.050000000,0.050000000,944975.921765800,944975.971597700,0,HOLD
231,944975.966081900,0.000193900,0.050000000,0.050000000,944975.966275800,944976.016081900,0,HOLD
232,944976.013602700,0.000491300,0.050000000,0.050000000,944976.014094000,944976.063602700,0,HOLD
233,944976.061305800,0.000142400,0.050000000,0.050000000,944976.061448200,944976.111305800,0,HOLD
234,944976.124119900,0.000170900,0.050000000,0.050000000,944976.124290800,944976.174119900,0,HOLD
235,944976.167542700,0.000169600,0.050000000,0.050000000,944976.167712300,944976.217542700,0,HOLD
236,944976.218403500,0.000180800,0.050000000,0.050000000,944976.218584300,944976.268403500,0,HOLD
237,944976.260713300,0.000172100,0.050000000,0.050000000,944976.260885400,944976.310713300,0,HOLD
238,944976.307197400,0.000239900,0.050000000,0.050000000,944976.307437300,944976.357197400,0,HOLD
239,944976.368825500,0.000191900,0.050000000,0.050000000,944976.369017400,944976.418825500,0,HOLD
240,944976.415320900,0.000178400,0.050000000,0.050000000,944976.415499300,944976.465320900,0,HOLD
241,944976.462744500,0.000308800,0.050000000,0.050000000,944976.463053300,944976.512744500,0,HOLD
242,944976.507358900,0.000354200,0.050000000,0.050000000,944976.507713100,944976.557358900,0,HOLD
243,944976.571015300,0.000160200,0.050000000,0.050000000,944976.571175500,944976.621015300,0,MOVE_LEFT
244,944976.618270700,0.000275200,0.050000000,0.050000000,944976.618545900,944976.668270700,0,HOLD
245,944976.664559600,0.000145700,0.050000000,0.050000000,944976.664705300,944976.714559600,0,HOLD
246,944976.712395100,0.000244600,0.050000000,0.050000000,944976.712639700,944976.762395100,0,HOLD
247,944976.770665100,0.000331800,0.050000000,0.050000000,944976.770996900,944976.820665100,0,HOLD
248,944976.817824600,0.000137700,0.050000000,0.050000000,944976.817962300,944976.867824600,0,HOLD
249,944976.864000700,0.000440000,0.050000000,0.050000000,944976.864440700,944976.914000700,0,HOLD
250,944976.911570800,0.000224200,0.050000000,0.050000000,944976.911795000,944976.961570800,0,HOLD
251,944976.958920200,0.000176300,0.050000000,0.050000000,944976.959096500,944977.008920200,0,HOLD
252,944977.019145300,0.000451700,0.050000000,0.050000000,944977.019597000,944977.069145300,0,HOLD
253,944977.066612400,0.000192100,0.050000000,0.050000000,944977.066804500,944977.116612400,0,HOLD
254,944977.113433100,0.000187400,0.050000000,0.050000000,944977.113620500,944977.163433100,0,HOLD
255,944977.159655300,0.000177500,0.050000000,0.050000000,944977.159832800,944977.209655300,0,HOLD
256,944977.209590900,0.000174900,0.050000000,0.050000000,944977.209765800,944977.259590900,0,HOLD
257,944977.267140300,0.000177200,0.050000000,0.050000000,944977.267317500,944977.317140300,0,HOLD
258,944977.313386100,0.000179800,0.050000000,0.050000000,944977.313565900,944977.363386100,0,HOLD
259,944977.359875700,0.000181700,0.050000000,0.050000000,944977.360057400,944977.409875700,0,HOLD
260,944977.420604300,0.000395100,0.050000000,0.050000000,944977.420999400,944977.470604300,0,HOLD
261,944977.467916200,0.000144500,0.050000000,0.050000000,944977.468060700,944977.517916200,0,HOLD
262,944977.515145400,0.000210300,0.050000000,0.050000000,944977.515355700,944977.565145400,0,HOLD
263,944977.563494200,0.000261100,0.050000000,0.050000000,944977.563755300,944977.613494200,0,HOLD
264,944977.610143200,0.000212600,0.050000000,0.050000000,944977.610355800,944977.660143200,0,MOVE_RIGHT
265,944977.670513300,0.000401800,0.050000000,0.050000000,944977.670915100,944977.720513300,0,HOLD
266,944977.717813900,0.000157300,0.050000000,0.050000000,944977.717971200,944977.767813900,0,HOLD
267,944977.764166200,0.000217300,0.050000000,0.050000000,944977.764383500,944977.814166200,0,HOLD
268,944977.810342400,0.000205900,0.050000000,0.050000000,944977.810548300,944977.860342400,0,HOLD
269,944977.857643500,0.000221500,0.050000000,0.050000000,944977.857865000,944977.907643500,0,HOLD
270,944977.920695500,0.000177500,0.050000000,0.050000000,944977.920873000,944977.970695500,0,HOLD
271,944977.966905100,0.000178600,0.050000000,0.050000000,944977.967083700,944978.016905100,0,HOLD
272,944978.012721900,0.000177900,0.050000000,0.050000000,944978.012899800,944978.062721900,0,HOLD
273,944978.059557500,0.000176600,0.050000000,0.050000000,944978.059734100,944978.109557500,0,HOLD
274,944978.108110400,0.000133900,0.050000000,0.050000000,944978.108244300,944978.158110400,0,HOLD
275,944978.173326900,0.000173200,0.050000000,0.050000000,944978.173500100,944978.223326900,0,HOLD
276,944978.217441600,0.000255400,0.050000000,0.050000000,944978.217697000,944978.267441600,0,HOLD
277,944978.263949000,0.000182200,0.050000000,0.050000000,944978.264131200,944978.313949000,0,HOLD
278,944978.310183100,0.000178200,0.050000000,0.050000000,944978.310361300,944978.360183100,0,HOLD
279,944978.372339500,0.000172200,0.050000000,0.050000000,944978.372511700,944978.422339500,0,HOLD
280,944978.417978100,0.000192000,0.050000000,0.050000000,944978.418170100,944978.467978100,0,HOLD
281,944978.464745600,0.000142700,0.050000000,0.050000000,944978.464888300,944978.514745600,0,HOLD
282,944978.511058200,0.000202700,0.050000000,0.050000000,944978.511260900,944978.561058200,0,HOLD
283,944978.558417300,0.000182800,0.050000000,0.050000000,944978.558600100,944978.608417300,0,MOVE_RIGHT
284,944978.619849700,0.000161900,0.050000000,0.050000000,944978.620011600,944978.669849700,0,MOVE_RIGHT
